,MODEL,PRICE,MODEL YEAR,CAR AGE,JAPANESE,FUEL,ODOMETER,TITLE STATUS,TRANSMISSION,CONDITION,CYLINDERS,DRIVE,PAINT COLOR,SIZE,TYPE,VIN
465,JEEP WRANGLER UNLIMITED SAHARA,22500,2014.0,8.0,0.0,gas,115000,rebuilt,automatic,excellent,6 cylinders,4wd,black,full-size,SUV,
466,ACURA TLX 3.5L V6,13500,2015.0,7.0,1.0,gas,93000,salvage,automatic,good,6 cylinders,fwd,black,,sedan,
467,LEXUS RX 350,21500,2015.0,7.0,1.0,gas,89000,rebuilt,automatic,excellent,6 cylinders,4wd,white,full-size,SUV,
468,KIA RIO,6700,2016.0,6.0,0.0,gas,156000,clean,automatic,good,,,blue,,sedan,
469,LEXUS IS200T,17100,2016.0,6.0,1.0,gas,92000,salvage,automatic,excellent,4 cylinders,rwd,grey,,sedan,
470,DODGE RAM 1500,21500,2017.0,5.0,0.0,gas,57000,rebuilt,automatic,excellent,6 cylinders,rwd,black,full-size,truck,
471,FORD FOCUS SE HATCHBACK,7999,2017.0,5.0,0.0,gas,32800,salvage,automatic,,,,,,,
472,CHEVY CORVETTE,27900,2005.0,17.0,0.0,gas,15202,clean,automatic,like new,8 cylinders,fwd,silver,mid-size,convertible,
473,ACURA TL,10200,2012.0,10.0,1.0,gas,143000,salvage,automatic,good,6 cylinders,,black,mid-size,sedan,
474,CAMPER,19000,2020.0,2.0,0.0,gas,62000,clean,automatic,,,,,,,
475,CHEVROLET TAHOE Z71,13500,2010.0,12.0,0.0,gas,173150,clean,automatic,good,6 cylinders,fwd,grey,full-size,SUV,
476,TOYOTA FJ CRUISER 4X4,19,2007.0,15.0,1.0,gas,128000,rebuilt,automatic,excellent,,4wd,grey,,offroad,
477,JEEP WRANGLER UNLIMITED,19500,2008.0,14.0,0.0,gas,140000,clean,automatic,good,6 cylinders,4wd,black,full-size,SUV,
478,N/A,4000,1968.0,54.0,0.0,gas,100000,clean,automatic,,,,,,,
479,FORD EXPLORER ,5500,2006.0,16.0,0.0,gas,111000,clean,automatic,,6 cylinders,fwd,blue,,SUV,
480,DODGE DART SXT,6200,2013.0,9.0,0.0,gas,62000,salvage,automatic,excellent,4 cylinders,fwd,black,sub-compact,sedan,
481,HONDA ODYSSEY TOYOTA SIENNA,7900,2013.0,9.0,1.0,gas,165000,clean,automatic,,,,,,,
482,HONDA ODYSSEY TOYOTA SIENNA,11900,2015.0,7.0,1.0,gas,103000,clean,automatic,,,,,,,
483,TOYOTA CAMRY LE 4DR SEDAN,3900,2004.0,18.0,1.0,gas,244000,clean,automatic,excellent,4 cylinders,fwd,white,mid-size,sedan,JTDBE32K240248119
484,JEEP LIBERTY,6300,2006.0,16.0,0.0,gas,170926,clean,automatic,good,6 cylinders,,green,,SUV,
485,HYUNDAI SONATA,8000,2012.0,10.0,0.0,gas,171000,clean,automatic,excellent,4 cylinders,fwd,red,,sedan,5NPEC4ABXCH380458
486,CAVA S926,60000,2000.0,22.0,0.0,gas,0,clean,other,,,,,,,
487,MUSTANG GT,6900,2004.0,18.0,0.0,gas,116400,clean,manual,good,8 cylinders,rwd,blue,mid-size,coupe,
488,HONDA ELEMENT LX,10500,2011.0,11.0,1.0,gas,132000,clean,automatic,excellent,4 cylinders,fwd,silver,,SUV,5J6YH1H3XBL003239
489,HONDA CRV LX,4995,2005.0,17.0,1.0,gas,250000,clean,automatic,good,4 cylinders,4wd,black,full-size,SUV,
490,FORD E-250,2000,2008.0,14.0,0.0,gas,240000,clean,automatic,fair,8 cylinders,,white,,,
491,CHRYSLER CROSSFIRE COUPE,14500,2007.0,15.0,0.0,gas,20562,clean,automatic,excellent,6 cylinders,rwd,red,compact,coupe,
492,BUICK LUCERNE,8000,2007.0,15.0,0.0,gas,100600,clean,automatic,like new,6 cylinders,fwd,green,full-size,sedan,
493,TOYOTA PICKUP,6000,1988.0,34.0,1.0,gas,147172,clean,manual,fair,6 cylinders,4wd,red,,truck,
494,TOYOTA  TACOMA,18800,2016.0,6.0,1.0,gas,78580,rebuilt,automatic,like new,6 cylinders,rwd,black,compact,truck,
495,FORD F250 SUPER DUTY,40000,2012.0,10.0,0.0,diesel,39000,clean,automatic,like new,8 cylinders,4wd,silver,,pickup,
496,DODGE DAKOTA,5875,2006.0,16.0,0.0,gas,,clean,automatic,,6 cylinders,4wd,grey,mid-size,pickup,
497,FORD F150 4X4,13900,2010.0,12.0,0.0,gas,172000,clean,automatic,good,8 cylinders,4wd,brown,full-size,truck,1FTFW1EV8AFA29148
498,MODEL A FORD TUDOR,15000,1930.0,92.0,0.0,gas,50000,clean,manual,excellent,4 cylinders,rwd,black,,,
499,SUBARU FORESTER,5200,2007.0,15.0,1.0,gas,159300,clean,automatic,good,4 cylinders,,,,,
500,MINI COOPER COUNTRYMAN S,18400,2014.0,8.0,0.0,gas,12798,clean,automatic,like new,4 cylinders,fwd,blue,compact,other,
501,CADILLAC ESCALADE,63500,2020.0,2.0,0.0,gas,11500,salvage,automatic,like new,8 cylinders,rwd,black,full-size,SUV,
502,RAM 1500,19500,2016.0,6.0,0.0,gas,141240,clean,automatic,excellent,8 cylinders,rwd,black,,truck,
503,JAGUAR XK8 CONVERTIBLE,5700,1997.0,25.0,0.0,gas,144700,clean,automatic,good,8 cylinders,rwd,blue,mid-size,convertible,
504,FORD TAURUS SE,3450,2000.0,22.0,0.0,gas,123400,clean,automatic,good,6 cylinders,fwd,red,full-size,sedan,
505,BMW 323I,4800,2000.0,22.0,0.0,gas,127122,clean,automatic,good,6 cylinders,rwd,green,,sedan,
506,RAM 2500,66900,2017.0,5.0,0.0,diesel,21000,clean,automatic,like new,other,4wd,white,full-size,truck,
507,JEEP CHEROKEE SPORT,4500,1994.0,28.0,0.0,gas,,lien,automatic,good,6 cylinders,4wd,black,full-size,SUV,
